date,site,latitude,longitude,chl,temp,turb,tp,discharge_nemadji,discharge_brule,airtemp_buoy,watertemp,airtemp_wing,windspeed_lake,winddir_lake,airtemp_slre,windspeed_slre,winddir_slre,precip_slre,year
2020-05-04,lksba,46.721772,-92.06352,,10.845833333333331,5.395833333333334,,493,280,,,3.5643356643356645,5.2258741258741255,68.57342657342659,2.325,2.505208333333333,113.11458333333331,0,2020
2020-05-05,lksba,46.721772,-92.06352,,10.096875,5.15625,,416,261,,,3.1713286713286712,5.025874125874126,61.57746478873238,4.0375000000000005,1.8854166666666667,99.14583333333331,0,2020
2020-05-06,lksba,46.721772,-92.06352,,10.835416666666667,5.239583333333334,,366,259,,,4.653146853146854,2.72027972027972,155.76923076923077,10.169791666666669,2.307291666666667,187.20833333333337,0,2020
2020-05-07,lksba,46.721772,-92.06352,,11.288541666666667,5.583333333333334,,326,259,,,4.531468531468532,3.1993006993006996,203.86713286713288,7.104166666666667,2.588541666666667,74.75,0,2020
2020-05-08,lksba,46.721772,-92.06352,,10.395833333333334,5.302083333333334,,288,245,,,1.627272727272728,5.893006993006994,142.13986013986002,2.5989583333333335,2.4135416666666667,88.64583333333336,0,2020
2020-05-09,lksba,46.721772,-92.06352,,10.632291666666667,4.9375,,256,231,,,4.348251748251747,3.180419580419581,227.45454545454544,3.864583333333334,1.503125,241.13541666666669,0,2020
2020-05-10,lksba,46.721772,-92.06352,,10.088541666666666,4.083333333333333,,239,213,,,4.441958041958042,4.162937062937064,84.47552447552461,4.944791666666666,1.7104166666666667,110.3125,0,2020
2020-05-11,lksba,46.721772,-92.06352,,10.254166666666666,4.6875,,227,196,,,4.127272727272728,4.1678321678321675,150.4685314685315,5.15,2.230208333333333,143.21875,0,2020
2020-05-12,lksba,46.721772,-92.06352,,10.733333333333334,4.552083333333334,,211,173,,,4.844755244755245,2.16993006993007,249.18881118881123,6.097916666666666,1.2822916666666666,179.46875,0,2020
2020-05-13,lksba,46.721772,-92.06352,,11.173958333333331,4.25,,198,166,,,6.397810218978103,2.9759124087591244,97.95620437956208,4.821875,1.5760416666666666,80.19791666666666,0,2020
2020-05-14,lksba,46.721772,-92.06352,,10.683333333333334,5,,194,169,,,7.246153846153846,2.2713286713286713,98.972027972027945,8.629166666666666,1.259375,130.73958333333334,0,2020
2020-05-15,lksba,46.721772,-92.06352,,11.5875,6,,199,168,,,8.59090909090909,3.083216783216783,181.7622377622377,11.601041666666667,1.8083333333333331,163.875,0,2020
2020-05-16,lksba,46.721772,-92.06352,,12.039583333333333,5.052083333333334,,191,165,,,6.056204379562043,3.953284671532847,62.37226277372261,7.651041666666667,1.7666666666666668,97.09375,0,2020
2020-05-17,lksba,46.721772,-92.06352,,11.364583333333334,5.645833333333333,,182,164,,,5.291608391608392,7.165734265734265,33.33566433566434,7.338541666666667,2.8552083333333336,99.10416666666669,0,2020
2020-05-18,lksba,46.721772,-92.06352,,11.347916666666666,5.177083333333334,,181,163,,,5.883216783216783,7.472727272727273,33.44055944055944,8.303125,2.904166666666667,94.34375,0,2020
2020-05-19,lksba,46.721772,-92.06352,,12.003125,5.270833333333334,,174,162,,,5.751748251748252,7.321678321678322,29.88111888111888,8.046875,2.373958333333333,97.44791666666666,0,2020
2020-05-20,lksba,46.721772,-92.06352,,12.832291666666666,6.020833333333334,,163,159,,,6.288111888111888,4.176223776223776,91.84615384615384,10.088541666666668,1.7395833333333333,85.22916666666667,0,2020
2020-05-21,lksba,46.721772,-92.06352,,14.436458333333334,6.885416666666667,,157,157,,,7.046853146853147,3.5265734265734263,103.36363636363636,11.519791666666668,1.5729166666666663,83.45833333333333,0,2020
2020-05-22,lksba,46.721772,-92.06352,,15.19375,6.916666666666667,,153,156,,,7.716783216783217,1.4825174825174825,151.6223776223776,11.4875,1.221875,86.96875,0,2020
2020-05-23,lksba,46.721772,-92.06352,,15.163541666666667,7.4375,,142,155,,,6.9944055944055945,2.662237762237762,143.03496503496507,10.692708333333334,1.553125,77.80208333333334,0,2020
